L,R
Adm,Mrgpra3
Adm,Mrgpra2a
Adm,Mrgpra2b
Itgb1,Sema7a
Itga1,Sema7a
Pdgfd,Pdgfra
Ppy,Npy5r
Tnfsf9,Tnfrsf9
Wnt4,Fzd6
Wnt5a,Fzd6
Il20,Il22ra1
Il20,Il20rb
Il20,Il20ra
Il19,Il20ra
Il19,Il20rb
Rarres2,Cmklr1
Rarres2,Gpr1
Wnt5a,Fzd2
Wnt3a,Fzd2
Wnt2,Fzd2
Rspo1,Lgr5
Rspo2,Lgr5
Rspo3,Lgr5
Rspo4,Lgr5
Rspo1,Lgr6
Rspo2,Lgr6
Rspo3,Lgr6
Rspo4,Lgr6
Cxcl16,Cxcr6
Wnt2,Fzd4
Wnt7b,Fzd4
Wnt2b,Fzd4
Wnt2,Fzd9
Wnt7b,Fzd10
Qrfp,Qrfprl
Qrfp,Qrfpr
Icosl,Icos
Icosl,Icos
Tnfsf8,Tnfrsf8
Enho,Gpr19
Cxcl17,Gpr35
Gm28040,Kiss1r
Kiss1,Kiss1r
Nts,Ntsr1
Ppox,Hcrtr2
Cort,Sstr1
Clcf1,Cntfr
Clcf1,Lifr
Clcf1,Il6st
Cd274,Pdcd1
Pdcd1lg2,Pdcd1
Ifnb1,Ifnar1
Ifnb1,Ifnar2
Ifne,Ifnar1
Ifne,Ifnar2
Nrg1,Itgb4
Nrg1,Itga6
Inhbc,Acvr2b
Inhbc,Acvr2a
Ccl3,Ccr8
Il22,Il22ra1
Iltifb,Il22ra1
Il22,Il10rb
Il22,Gm21970
Iltifb,Il10rb
Iltifb,Gm21970
Crh,Crhr2
Igfl3,U2af1l4
Igfl3,Gm49396
Tnfsf18,Tnfrsf18
Scgb3a1,Marco
Il21,Il21r
Il21,Il2rg
Il21,Gm20489
Il9,Il9r
Il9,Il2rg
Il9,Gm20489
Il1f9,Il1rl2
Il1f9,Il1rap
Il1f5,Il1rl2
Il1f5,Il1rap
Il1f8,Il1rl2
Il1f8,Il1rap
Ebi3,Il6st
Ebi3,Il12rb2
Il12a,Il6st
Il12a,Il12rb2
Ebi3,Il27ra
Il27,Il27ra
Il27,Il6st
Il12b,Il12rb1
Il12b,Il23r
Il23a,Il12rb1
Il23a,Il23r
Il18,Il18
Il18,Il18r1
Il18,Il18rap
Il17a,Il17ra
Il17a,Il17rc
Il17f,Il17ra
Il17f,Il17rc
Il12a,Il12rb1
Il12b,Il12rb2
Il4,Il2rg
Il4,Gm20489
Il4,Il4
Il4,Il13ra1
Il4,Il4ra
Il13,Il13ra1
Il13,Il4ra
Bmpr1a,Bmpr1b
Bmpr1a,Bmpr2
Ifna13,Ifnar1
Ifna4,Ifnar1
Ifna12,Ifnar1
Ifna2,Ifnar1
Ifna16,Ifnar1
Ifna9,Ifnar1
Ifna1,Ifnar1
Ifna14,Ifnar1
Ifna15,Ifnar1
Ifna5,Ifnar1
Ifnab,Ifnar1
Ifna11,Ifnar1
Ifna7,Ifnar1
Ifna6,Ifnar1
Ifna13,Ifnar2
Ifna4,Ifnar2
Ifna12,Ifnar2
